A he
a to
go The
be was
As and
is men
no his
or get
At new
It not
as the
it had
He were
If His
we All
In for
on with
at been
by from
81 plan
USA find
old more
you most
who poor
met hard
him them
try work
are this
but have
one each
has came
200 their
age James
any which
man would
also notes
down known
Many these
good other
over about
Much state
what There
they states
that called
able should
Most during
Some people
rich George
know Framers
four written
None leaders
long Madison
home support
1787 country
said American
They delegate
very Franklin
Poor Benjamin
told Congress
Once Virginia
Then national
quit delegates
hero Americans
read necessary
time important
army respected
Like committee
give convention
took Washington
side government
ideas Revolution
story Convention
Great constitution
proud Philadelphia
issue Constitution
